lot_frontage,overall_qual,mas_vnr_area,bsmt_qual,bsmt_exposure,bsmtfin_sf_1,heating_qc,gr_liv_area,full_bath,fireplace_qu,garage_area,wood_deck_sf,open_porch_sf,age_built,age_remod,total_sf,open_lot,common_lot,closed_lot,near_park,ms_zoning_RL,ms_zoning_RM,land_contour_HLS,roof_matl_WdShngl,exterior_1st_BrkFace,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_Plywood,exterior_1st_VinylSd,exterior_1st_Wd Sdng,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone,foundation_CBlock,foundation_Slab,heating_OthW,garage_type_Attchd,garage_type_BuiltIn,garage_type_Detchd,garage_type_NA,sale_type_New
69.05520046484602,6,289.0,3,1,533.0,5,1479,2,0,475.0,0,44,34,5,2204.0,False,False,True,False,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
43.0,7,132.0,4,1,637.0,5,2122,2,3,559.0,0,74,13,12,3035.0,False,False,True,False,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
68.0,5,0.0,3,1,731.0,3,1057,1,0,246.0,0,52,57,3,2114.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
73.0,5,0.0,4,1,0.0,4,1444,2,0,400.0,100,0,4,3,1828.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
82.0,6,0.0,2,1,0.0,3,1445,2,0,484.0,0,59,110,17,2121.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
137.0,6,0.0,3,1,247.0,5,1888,2,4,578.0,0,0,44,8,3405.0,False,True,False,False,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
35.0,6,82.0,4,4,547.0,4,1072,2,0,525.0,0,44,1,0,1619.0,False,True,False,False,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
69.05520046484602,5,180.0,3,1,1000.0,2,1188,1,0,531.0,0,0,51,51,2376.0,False,True,False,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
69.05520046484602,5,0.0,3,1,292.0,3,924,1,0,420.0,0,324,55,55,1848.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
70.0,5,192.0,4,3,650.0,3,2080,1,3,504.0,335,0,38,38,3120.0,False,True,False,False,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
21.0,6,232.0,3,1,387.0,3,987,1,0,264.0,0,0,37,37,1470.0,False,True,False,False,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
64.0,7,0.0,4,3,393.0,5,1208,2,0,632.0,105,58,1,1,2416.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
120.0,5,0.0,0,0,0.0,5,2016,1,3,576.0,0,0,129,2,2016.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24.0,8,456.0,4,1,813.0,5,1607,2,0,480.0,169,0,9,8,2567.0,False,True,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
74.0,7,0.0,4,3,24.0,5,1361,2,0,610.0,0,50,1,1,2712.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
93.0,5,0.0,5,3,0.0,5,1430,2,0,624.0,0,0,6,5,2860.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
