ms_zoning,lot_frontage,street,land_contour,overall_qual,roof_matl,exterior_1st,mas_vnr_type,mas_vnr_area,foundation,bsmt_qual,bsmt_exposure,bsmtfin_sf_1,heating,heating_qc,central_air,gr_liv_area,full_bath,fireplace_qu,garage_type,garage_finish,garage_area,wood_deck_sf,open_porch_sf,sale_type,saleprice,age_built,age_remod,total_sf,open_lot,common_lot,closed_lot,near_park,near_road
RL,69.05520046484602,Pave,Lvl,6,CompShg,HdBoard,BrkFace,289.0,CBlock,3,1,533.0,GasA,5,Y,1479,2,0,Attchd,2,475.0,0,44,WD ,130500,34,5,2204.0,False,False,True,False,False
RL,43.0,Pave,Lvl,7,CompShg,VinylSd,BrkFace,132.0,PConc,4,1,637.0,GasA,5,Y,2122,2,3,Attchd,2,559.0,0,74,WD ,220000,13,12,3035.0,False,False,True,False,False
RL,68.0,Pave,Lvl,5,CompShg,VinylSd,None,0.0,CBlock,3,1,731.0,GasA,3,Y,1057,1,0,Detchd,1,246.0,0,52,WD ,109000,57,3,2114.0,False,True,False,False,False
RL,73.0,Pave,Lvl,5,CompShg,VinylSd,None,0.0,PConc,4,1,0.0,GasA,4,Y,1444,2,0,BuiltIn,3,400.0,100,0,WD ,174000,4,3,1828.0,False,True,False,False,False
RL,82.0,Pave,Lvl,6,CompShg,Wd Sdng,None,0.0,PConc,2,1,0.0,GasA,3,Y,1445,2,0,Detchd,1,484.0,0,59,WD ,138500,110,17,2121.0,False,True,False,False,False
RL,137.0,Pave,Lvl,6,CompShg,BrkFace,None,0.0,CBlock,3,1,247.0,GasA,5,Y,1888,2,4,Attchd,3,578.0,0,0,WD ,190000,44,8,3405.0,False,True,False,False,False
RM,35.0,Pave,Lvl,6,CompShg,VinylSd,BrkFace,82.0,PConc,4,4,547.0,GasA,4,Y,1072,2,0,Basment,3,525.0,0,44,New,140000,1,0,1619.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,5,CompShg,Plywood,BrkFace,180.0,CBlock,3,1,1000.0,GasA,2,Y,1188,1,0,Attchd,2,531.0,0,0,COD,142000,51,51,2376.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,5,CompShg,Wd Sdng,None,0.0,CBlock,3,1,292.0,GasA,3,Y,924,1,0,Detchd,1,420.0,0,324,WD ,112500,55,55,1848.0,False,True,False,False,False
RL,70.0,Pave,HLS,5,CompShg,Plywood,BrkFace,192.0,PConc,4,3,650.0,GasA,3,Y,2080,1,3,Attchd,1,504.0,335,0,WD ,135000,38,38,3120.0,False,True,False,False,False
RM,21.0,Pave,Lvl,6,CompShg,HdBoard,BrkFace,232.0,CBlock,3,1,387.0,GasA,3,Y,987,1,0,Detchd,1,264.0,0,0,COD,85400,37,37,1470.0,False,True,False,False,False
RL,64.0,Pave,Lvl,7,CompShg,VinylSd,None,0.0,PConc,4,3,393.0,GasA,5,Y,1208,2,0,Attchd,2,632.0,105,58,WD ,183600,1,1,2416.0,False,True,False,False,False
RL,120.0,Pave,Bnk,5,CompShg,HdBoard,None,0.0,PConc,0,0,0.0,GasA,5,Y,2016,1,3,Attchd,1,576.0,0,0,WD ,131000,129,2,2016.0,False,True,False,False,False
Others,24.0,Pave,Lvl,8,CompShg,MetalSd,BrkFace,456.0,PConc,4,1,813.0,GasA,5,Y,1607,2,0,Detchd,1,480.0,169,0,ConLD,200000,9,8,2567.0,False,True,False,False,False
RL,74.0,Pave,Lvl,7,CompShg,VinylSd,None,0.0,PConc,4,3,24.0,GasA,5,Y,1361,2,0,Attchd,2,610.0,0,50,WD ,193000,1,1,2712.0,False,True,False,False,False
RL,93.0,Pave,Lvl,5,CompShg,VinylSd,None,0.0,PConc,5,3,0.0,GasA,5,Y,1430,2,0,Attchd,2,624.0,0,0,WD ,173500,6,5,2860.0,False,True,False,False,False
RM,34.0,Pave,Lvl,5,CompShg,AsbShng,None,0.0,BrkTil,3,1,0.0,GasA,2,N,1344,1,0,Detchd,1,513.0,0,0,COD,98000,92,58,1968.0,False,True,False,False,False
RL,80.0,Pave,Lvl,5,CompShg,VinylSd,None,0.0,PConc,3,1,651.0,GasA,3,Y,1121,1,0,Detchd,1,480.0,0,80,WD ,139000,46,46,2242.0,False,True,False,False,False
RL,71.0,Pave,Lvl,6,CompShg,Plywood,BrkFace,148.0,CBlock,3,1,0.0,GasA,5,Y,1285,1,3,Attchd,2,528.0,138,0,WD ,143500,30,30,1945.0,False,True,False,False,False
Others,72.0,Pave,Lvl,7,CompShg,VinylSd,None,0.0,PConc,4,2,24.0,GasA,5,Y,1547,2,0,Attchd,1,614.0,169,45,Con,215200,1,1,2303.0,False,True,False,False,False
RL,109.0,Pave,Lvl,5,CompShg,VinylSd,None,0.0,CBlock,4,1,492.0,GasA,4,Y,894,1,1,Attchd,3,450.0,0,0,WD ,129000,39,39,1788.0,False,True,False,False,False
RL,40.0,Pave,Lvl,8,CompShg,CemntBd,None,0.0,PConc,4,1,1158.0,GasA,5,Y,1659,2,5,Attchd,3,499.0,212,59,WD ,278000,9,9,3160.0,False,True,False,False,False
RL,103.0,Pave,Lvl,8,CompShg,CemntBd,None,0.0,PConc,5,3,0.0,GasA,5,Y,2253,2,4,Attchd,3,575.0,243,142,New,344133,1,0,3462.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,6,CompShg,HdBoard,None,0.0,PConc,4,1,935.0,GasA,5,Y,1187,2,0,Attchd,3,420.0,483,21,WD ,185000,18,3,2355.0,False,True,False,False,False
RL,100.0,Pave,Bnk,5,CompShg,Wd Sdng,None,0.0,CBlock,3,2,1056.0,GasA,3,N,1056,1,0,Attchd,3,572.0,264,0,WD ,145000,51,51,2112.0,False,True,False,False,False
RL,92.0,Pave,Lvl,6,CompShg,MetalSd,BrkFace,3.0,CBlock,3,1,1312.0,GasA,5,Y,1453,2,3,Attchd,2,530.0,0,49,WD ,187500,48,48,2906.0,False,True,False,False,False
RL,65.0,Pave,Lvl,5,CompShg,MetalSd,None,0.0,CBlock,3,1,553.0,GasA,5,Y,894,1,4,Detchd,1,336.0,416,144,WD ,138500,45,1,1788.0,False,True,False,False,False
RL,69.05520046484602,Pave,HLS,5,CompShg,WdShing,None,0.0,CBlock,3,1,606.0,GasA,5,Y,1938,2,4,Detchd,1,240.0,0,40,WD ,198000,71,13,2880.0,False,True,False,False,False
Others,75.0,Pave,Lvl,5,CompShg,VinylSd,None,0.0,CBlock,3,1,0.0,GasA,2,N,1991,2,0,NA,0,0.0,0,0,WD ,119600,112,1,2948.0,False,True,False,False,False
RL,60.0,Pave,Lvl,5,CompShg,MetalSd,None,0.0,CBlock,3,2,0.0,GasA,5,Y,924,1,1,Detchd,1,576.0,0,0,WD ,122900,58,1,1596.0,False,True,False,False,False
RL,80.0,Pave,Lvl,8,WdShngl,BrkFace,None,0.0,PConc,4,1,1104.0,GasA,3,Y,2524,2,4,Attchd,3,542.0,474,120,WD ,278000,28,28,5048.0,False,True,False,False,False
RL,69.05520046484602,Pave,HLS,8,CompShg,BrkFace,None,0.0,PConc,4,1,0.0,GasA,2,Y,1517,1,4,Detchd,1,400.0,0,0,WD ,230000,77,56,2309.0,False,True,False,False,False
RL,30.0,Pave,Lvl,8,CompShg,BrkFace,None,0.0,PConc,4,3,437.0,GasA,5,Y,1494,1,4,Attchd,3,481.0,0,30,WD ,270000,11,10,2988.0,False,False,True,False,False
RL,60.0,Pave,Lvl,6,CompShg,Wd Sdng,None,0.0,CBlock,3,1,441.0,GasA,3,Y,948,1,0,Detchd,1,410.0,0,48,WD ,125000,55,55,1896.0,False,True,False,False,False
RL,79.0,Pave,Lvl,8,CompShg,VinylSd,Stone,336.0,PConc,5,4,1288.0,GasA,5,Y,1718,2,4,Attchd,2,826.0,208,44,WD ,297000,2,1,3423.0,False,True,False,False,False
RL,80.0,Pave,HLS,6,Tar&Grv,Wd Sdng,BrkFace,82.0,CBlock,4,4,0.0,GasA,2,Y,1142,1,4,Basment,2,384.0,0,28,WD ,113500,51,51,1302.0,False,True,False,False,False
RM,41.0,Pave,Lvl,5,CompShg,CemntBd,None,0.0,PConc,3,1,548.0,GasA,5,Y,1475,2,3,Attchd,2,336.0,104,26,WD ,127000,29,29,2232.0,False,True,False,False,False
RL,105.0,Pave,Lvl,6,CompShg,Plywood,BrkFace,480.0,CBlock,4,1,705.0,GasA,5,Y,1844,2,3,Attchd,2,546.0,0,122,COD,190000,33,33,3688.0,False,True,False,False,False
RL,80.0,Pave,Lvl,7,CompShg,HdBoard,BrkFace,320.0,CBlock,3,1,916.0,GasA,2,Y,1242,1,3,Attchd,1,528.0,0,0,WD ,175500,34,34,2484.0,False,True,False,False,False
RL,60.0,Pave,Lvl,5,CompShg,VinylSd,None,0.0,PConc,4,1,420.0,GasA,5,Y,990,1,0,Detchd,1,384.0,256,0,WD ,146000,13,13,1980.0,False,True,False,False,False
RL,75.0,Pave,Lvl,5,CompShg,HdBoard,None,0.0,CBlock,3,1,830.0,GasA,4,Y,1256,1,0,Attchd,3,276.0,736,68,WD ,147500,43,43,2512.0,False,True,False,False,False
RL,107.0,Pave,Lvl,10,CompShg,VinylSd,None,0.0,PConc,5,4,1386.0,GasA,5,Y,2076,2,4,Attchd,3,850.0,216,229,New,465000,0,0,4152.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,5,CompShg,Plywood,BrkFace,104.0,PConc,4,3,1097.0,GasA,5,Y,1110,1,3,Attchd,3,602.0,303,30,WD ,165500,31,31,2207.0,False,True,False,False,False
RM,81.0,Pave,Lvl,5,CompShg,MetalSd,BrkFace,335.0,BrkTil,3,1,0.0,GasA,5,N,1795,2,0,Attchd,1,352.0,0,0,WD ,131500,54,54,2845.0,False,True,False,False,False
RL,70.0,Pave,Lvl,5,CompShg,HdBoard,None,0.0,CBlock,3,1,906.0,GasA,5,Y,1040,1,0,Detchd,1,384.0,0,0,WD ,129500,43,43,2080.0,False,True,False,False,False
RL,100.0,Pave,HLS,8,CompShg,BrkFace,Stone,40.0,PConc,3,1,210.0,GasA,3,Y,1873,1,4,Detchd,3,786.0,0,0,WD ,257076,73,58,2481.0,False,True,False,False,False
RL,60.0,Pave,Lvl,5,CompShg,Wd Sdng,None,0.0,CBlock,3,1,408.0,GasA,5,Y,1604,2,0,Detchd,1,660.0,0,68,WD ,117000,68,49,2588.0,False,True,False,False,False
RL,60.0,Pave,HLS,7,CompShg,Stucco,None,0.0,BrkTil,4,1,0.0,GasA,3,Y,1502,1,4,Attchd,2,270.0,0,0,WD ,149000,77,8,2278.0,False,True,False,False,False
RL,80.0,Pave,Lvl,5,CompShg,HdBoard,Stone,110.0,CBlock,3,1,354.0,GasA,3,Y,1063,1,0,Attchd,2,280.0,0,0,WD ,128000,56,56,2119.0,False,True,False,False,False
RL,36.0,Pave,Lvl,7,CompShg,VinylSd,Stone,106.0,PConc,4,1,0.0,GasA,5,Y,1626,2,0,BuiltIn,2,474.0,0,27,WD ,155000,5,4,2390.0,False,True,False,False,False
Others,69.05520046484602,Pave,Lvl,6,CompShg,MetalSd,BrkFace,513.0,PConc,4,1,353.0,GasA,5,Y,1524,2,0,Detchd,1,440.0,0,32,WD ,166000,6,6,2280.0,False,True,False,False,False
RL,65.0,Pave,Lvl,4,CompShg,WdShing,None,0.0,BrkTil,3,1,622.0,GasA,3,Y,1981,2,3,Detchd,1,576.0,431,44,WD ,135000,81,59,3103.0,False,True,False,False,False
RL,80.0,Pave,Lvl,7,CompShg,Plywood,BrkFace,184.0,CBlock,4,1,790.0,GasA,3,Y,2784,3,3,Attchd,2,564.0,0,112,WD ,250000,28,28,4176.0,False,True,False,False,False
RM,21.0,Pave,Lvl,4,CompShg,CemntBd,None,0.0,CBlock,3,1,176.0,GasA,5,Y,1092,1,0,NA,0,0.0,200,26,WD ,76000,40,40,1638.0,False,True,False,False,False
RL,75.0,Pave,Lvl,6,CompShg,Wd Sdng,BrkFace,522.0,CBlock,3,1,0.0,GasA,3,Y,1575,1,4,Attchd,1,400.0,0,0,WD ,155000,55,55,1791.0,False,True,False,False,False
RL,80.0,Pave,Lvl,6,CompShg,HdBoard,Stone,143.0,CBlock,3,1,371.0,GasA,3,Y,1352,1,0,Attchd,3,299.0,379,36,WD ,158000,41,41,2015.0,False,True,False,False,False
Others,24.0,Pave,Lvl,7,CompShg,MetalSd,None,0.0,PConc,4,1,368.0,GasA,5,Y,1200,2,0,Detchd,2,480.0,0,172,WD ,149500,6,5,1800.0,False,True,False,False,False
RL,82.0,Pave,Lvl,5,CompShg,MetalSd,None,0.0,CBlock,3,1,486.0,GasA,3,Y,936,1,0,Attchd,1,240.0,0,0,WD ,121000,52,31,1872.0,False,True,False,False,False
RL,68.0,Pave,Lvl,6,CompShg,Wd Sdng,None,0.0,CBlock,3,1,85.0,GasA,3,Y,1040,1,0,Attchd,3,293.0,0,0,WD ,136000,54,54,2080.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,6,CompShg,HdBoard,None,0.0,PConc,4,1,138.0,GasA,4,Y,1636,2,3,Attchd,3,386.0,168,84,WD ,173000,12,12,2552.0,False,True,False,False,False
RL,92.0,Pave,Lvl,8,CompShg,VinylSd,BrkFace,348.0,PConc,4,1,524.0,GasA,5,Y,2270,2,4,Attchd,3,671.0,132,57,WD ,290000,11,3,3422.0,False,False,True,False,False
Others,75.0,Pave,Lvl,8,CompShg,CemntBd,None,0.0,PConc,4,3,64.0,GasA,5,Y,2610,2,4,BuiltIn,3,550.0,208,364,New,303477,0,0,3794.0,False,True,False,False,False
RL,69.05520046484602,Pave,Low,7,CompShg,Wd Sdng,None,0.0,CBlock,4,4,1092.0,GasA,4,Y,1483,1,3,Attchd,2,690.0,496,0,WD ,270000,33,9,2903.0,False,True,False,False,False
RM,81.0,Pave,Lvl,5,CompShg,WdShing,None,0.0,BrkTil,3,1,360.0,GasA,4,N,1740,1,4,Detchd,1,225.0,0,0,WD ,122250,88,58,2676.0,False,True,False,False,False
RL,70.0,Pave,Lvl,5,CompShg,AsbShng,None,0.0,CBlock,3,1,172.0,GasA,4,Y,1382,1,0,Attchd,1,350.0,280,0,WD ,153000,54,54,2764.0,False,True,False,False,False
RL,70.0,Pave,Lvl,5,CompShg,VinylSd,None,0.0,PConc,4,1,206.0,GasA,5,Y,1120,1,0,NA,0,0.0,0,30,New,147000,0,0,2240.0,False,True,False,False,False
RL,63.0,Pave,Lvl,7,CompShg,Wd Sdng,None,0.0,BrkTil,4,1,246.0,GasA,3,Y,1098,1,4,Detchd,1,216.0,0,0,WD ,148500,77,12,1629.0,False,True,False,False,False
RM,32.0,Pave,Lvl,7,CompShg,VinylSd,Stone,117.0,PConc,4,1,0.0,GasA,5,Y,1708,2,0,Detchd,1,380.0,0,40,WD ,130000,2,2,2684.0,False,True,False,False,False
RL,94.0,Pave,HLS,9,CompShg,MetalSd,Stone,510.0,PConc,5,4,0.0,GasA,5,Y,1802,2,4,Attchd,3,843.0,158,105,WD ,372000,1,1,3604.0,False,True,False,False,False
RL,43.0,Pave,Lvl,7,CompShg,VinylSd,BrkFace,145.0,PConc,4,4,16.0,GasA,5,Y,1506,2,4,Attchd,3,440.0,142,20,WD ,213490,1,1,2868.0,False,True,False,False,False
RL,44.0,Pave,Lvl,7,CompShg,VinylSd,Stone,96.0,PConc,4,4,1346.0,GasA,5,Y,1508,1,3,Attchd,2,572.0,0,0,Con,308030,1,0,3016.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,7,CompShg,MetalSd,BrkFace,668.0,PConc,5,2,700.0,GasA,5,Y,2032,3,0,Attchd,3,786.0,0,46,WD ,300000,12,11,3872.0,False,True,False,False,False
